Datum,Differenz in kWh,Kapazität in kWh,Laden/Einspeisen in kWh
2030-11-24 12:30:00,-3723.864732300921,56000.0,0.0
2030-11-24 12:45:00,-3808.1779998877864,56000.0,0.0
2030-11-24 13:00:00,-3962.874946218799,56000.0,0.0
2030-11-24 13:15:00,-3649.6471250589493,56000.0,0.0
2030-11-24 13:30:00,-3450.6388345301093,56000.0,0.0
2030-11-24 13:45:00,-3450.533490289159,56000.0,0.0
2030-11-24 14:00:00,-3636.158796073978,56000.0,0.0
2030-11-24 14:15:00,-3157.6176180419097,56000.0,0.0
2030-11-24 14:30:00,-2712.193889347076,56000.0,0.0
2030-11-24 14:45:00,-2402.0521246700046,56000.0,0.0
2030-11-24 15:00:00,-1739.2057796017325,56000.0,0.0
2030-11-24 15:15:00,-1256.5905039876052,56000.0,0.0
2030-11-24 15:30:00,-1033.2152606830532,56000.0,0.0
2030-11-24 15:45:00,-572.7689809648728,56000.0,0.0
2030-11-24 16:00:00,113.65526667829909,55886.344733321705,-113.65526667829909
2030-11-24 16:15:00,325.20727777937645,55561.137455542324,-325.20727777937645
2030-11-24 16:30:00,569.0720685658598,54992.065386976465,-569.0720685658598
2030-11-24 16:45:00,803.1127465276259,54188.95264044884,-803.1127465276259
2030-11-24 17:00:00,922.4869029493093,53266.46573749953,-922.4869029493093
2030-11-24 17:15:00,725.9014436054676,52540.56429389406,-725.9014436054676
2030-11-24 17:30:00,814.4151542366526,51726.149139657406,-814.4151542366526
2030-11-24 17:45:00,691.7243083815556,51034.42483127585,-691.7243083815556
2030-11-24 18:00:00,629.3359626605197,50405.088868615334,-629.3359626605197
2030-11-24 18:15:00,233.99493564130535,50171.09393297403,-233.99493564130535
2030-11-24 18:30:00,106.92864912206642,50064.165283851966,-106.92864912206642
2030-11-24 18:45:00,55.28479868591239,50008.88048516605,-55.28479868591239
2030-11-24 19:00:00,-78.28126209705442,50087.161747263104,78.28126209705442
2030-11-24 19:15:00,-181.2304003395111,50268.392147602615,181.2304003395111
2030-11-24 19:30:00,-56.286425225604034,50324.67857282822,56.286425225604034
