,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh
10093,2030-04-16 04:15:00,8937.594997405386,0.0,8937.594997405386
10094,2030-04-16 04:30:00,8645.337352217193,0.0,8645.337352217193
10095,2030-04-16 04:45:00,8145.353308089727,0.0,8145.353308089727
10096,2030-04-16 05:00:00,7650.827323079793,0.0,7650.827323079793
10097,2030-04-16 05:15:00,7447.529665532957,0.0,7447.529665532957
10098,2030-04-16 05:30:00,7293.404462115224,0.0,7293.404462115224
10099,2030-04-16 05:45:00,6758.666931322941,0.0,6758.666931322941
10100,2030-04-16 06:00:00,6504.184742040644,0.0,6504.184742040644
10101,2030-04-16 06:15:00,6407.574274436754,0.0,6407.574274436754
10102,2030-04-16 06:30:00,5997.421305401448,0.0,5997.421305401448
10103,2030-04-16 06:45:00,5795.909559345521,0.0,5795.909559345521
10104,2030-04-16 07:00:00,5831.177601876086,0.0,5831.177601876086
10105,2030-04-16 07:15:00,6046.051253099203,0.0,6046.051253099203
10106,2030-04-16 07:30:00,6515.235787750929,0.0,6515.235787750929
10107,2030-04-16 07:45:00,6814.88663783836,0.0,6814.88663783836
10108,2030-04-16 08:00:00,7184.2797490377525,0.0,7184.2797490377525
10109,2030-04-16 08:15:00,7791.934248680989,0.0,7791.934248680989
10110,2030-04-16 08:30:00,8321.246242060935,0.0,8321.246242060935
10111,2030-04-16 08:45:00,8827.33376864959,0.0,8827.33376864959
10112,2030-04-16 09:00:00,9764.3800365406,0.0,9764.3800365406
10113,2030-04-16 09:15:00,10573.166664462231,0.0,10573.166664462231
10114,2030-04-16 09:30:00,11331.68472102976,0.0,11331.68472102976
10115,2030-04-16 09:45:00,12209.191723641137,0.0,12209.191723641137
10116,2030-04-16 10:00:00,13026.032168349264,0.0,13026.032168349264
10117,2030-04-16 10:15:00,13917.37196156662,320.6518988327625,13596.720062733857
10118,2030-04-16 10:30:00,14837.289467711327,945.7494477505061,13891.540019960821
10119,2030-04-16 10:45:00,15891.972551094099,1365.5617329822308,14526.410818111868
10120,2030-04-16 11:00:00,16804.075050272913,1572.208874053893,15231.86617621902
10121,2030-04-16 11:15:00,17619.490434848005,1666.3822764399338,15953.108158408071
10122,2030-04-16 11:30:00,18469.98363349689,1561.3225749057965,16908.661058591093
10123,2030-04-16 11:45:00,19078.180788536734,1744.65401456552,17333.526773971214
10124,2030-04-16 12:00:00,19456.18784065194,2091.622186796718,17364.56565385522
10125,2030-04-16 12:15:00,19824.611122267488,2382.1822473778448,17442.428874889643
10126,2030-04-16 12:30:00,19961.601921429843,2149.5363631487708,17812.065558281072
10127,2030-04-16 12:45:00,20187.49575800103,2615.1336354410487,17572.36212255998
10128,2030-04-16 13:00:00,20440.086441428553,2985.3539846421154,17454.732456786438
10129,2030-04-16 13:15:00,20484.524815521654,3285.581832534961,17198.942982986693
10130,2030-04-16 13:30:00,20125.30206395588,2611.621859718314,17513.680204237568
10131,2030-04-16 13:45:00,20471.354517096835,2178.5053343166364,18292.8491827802
10132,2030-04-16 14:00:00,20625.43191154752,1722.8222034470054,18902.609708100514
10133,2030-04-16 14:15:00,20681.388611948492,1501.8070319704457,19179.581579978047
10134,2030-04-16 14:30:00,19955.61354723963,1264.4706464786868,18691.142900760944
10135,2030-04-16 14:45:00,19374.824009945143,949.5664782281856,18425.257531716958
10136,2030-04-16 15:00:00,18678.570809575944,354.7370114837213,18323.833798092222
10137,2030-04-16 15:15:00,18407.961193002542,-37.57673660810906,18445.53792961065
10138,2030-04-16 15:30:00,18035.165352992568,-324.4066101203498,18359.571963112918
10139,2030-04-16 15:45:00,17592.573994007682,-988.3588507680561,18580.932844775736
10140,2030-04-16 16:00:00,16997.004311664754,-1796.9250972407935,18793.929408905547
10141,2030-04-16 16:15:00,16540.29180650689,-2317.3956295228927,18857.687436029784
10142,2030-04-16 16:30:00,16133.54700604409,-3203.6266543253823,19337.173660369474
10143,2030-04-16 16:45:00,15568.413547790826,-4103.304044651377,19671.717592442204
10144,2030-04-16 17:00:00,14797.598296839558,-5443.555981694837,20241.154278534395
10145,2030-04-16 17:15:00,14056.173408417084,-6500.575152457735,20556.748560874817
10146,2030-04-16 17:30:00,13171.792922610744,-7599.960409234303,20771.753331845048
10147,2030-04-16 17:45:00,12350.208277922302,-2953.78646849126,15303.994746413562
10148,2030-04-16 18:00:00,11318.256137637523,0.0,11318.256137637523
10149,2030-04-16 18:15:00,10320.45421475144,0.0,10320.45421475144
10150,2030-04-16 18:30:00,9323.588818361615,0.0,9323.588818361615
10151,2030-04-16 18:45:00,8377.506543740921,0.0,8377.506543740921
10152,2030-04-16 19:00:00,7512.115395764652,0.0,7512.115395764652
10153,2030-04-16 19:15:00,6744.891392118135,0.0,6744.891392118135
10154,2030-04-16 19:30:00,6147.507474640237,0.0,6147.507474640237
10155,2030-04-16 19:45:00,5699.6945649433255,0.0,5699.6945649433255
10156,2030-04-16 20:00:00,5293.374656999643,0.0,5293.374656999643
10157,2030-04-16 20:15:00,4986.150825465948,0.0,4986.150825465948
10158,2030-04-16 20:30:00,4923.43778824569,0.0,4923.43778824569
10159,2030-04-16 20:45:00,4910.419054259341,0.0,4910.419054259341
10160,2030-04-16 21:00:00,4825.498469895353,0.0,4825.498469895353
10161,2030-04-16 21:15:00,4616.362531332077,0.0,4616.362531332077
10162,2030-04-16 21:30:00,4980.834881126284,0.0,4980.834881126284
10163,2030-04-16 21:45:00,4820.983938470157,0.0,4820.983938470157
10164,2030-04-16 22:00:00,4573.4700060186315,0.0,4573.4700060186315
10165,2030-04-16 22:15:00,4564.509097671878,0.0,4564.509097671878
10166,2030-04-16 22:30:00,4666.365374472264,0.0,4666.365374472264
10167,2030-04-16 22:45:00,4624.233889859843,0.0,4624.233889859843
10168,2030-04-16 23:00:00,4429.533957386763,0.0,4429.533957386763
10169,2030-04-16 23:15:00,4500.442547930656,0.0,4500.442547930656
10170,2030-04-16 23:30:00,4753.093952791491,0.0,4753.093952791491
10171,2030-04-16 23:45:00,4829.581066640703,0.0,4829.581066640703
10172,2030-04-17 00:00:00,4524.772680037357,0.0,4524.772680037357
10173,2030-04-17 00:15:00,4254.510332071859,0.0,4254.510332071859
10174,2030-04-17 00:30:00,4086.095741593793,0.0,4086.095741593793
10175,2030-04-17 00:45:00,4213.632054934198,0.0,4213.632054934198
10176,2030-04-17 01:00:00,4362.566894021808,0.0,4362.566894021808
10177,2030-04-17 01:15:00,4199.645713378359,0.0,4199.645713378359
10178,2030-04-17 01:30:00,4272.89139014269,0.0,4272.89139014269
10179,2030-04-17 01:45:00,4406.823886080648,0.0,4406.823886080648
10180,2030-04-17 02:00:00,4289.050060782166,0.0,4289.050060782166
10181,2030-04-17 02:15:00,4072.2616745353303,0.0,4072.2616745353303
10182,2030-04-17 02:30:00,4017.2808924582055,0.0,4017.2808924582055
10183,2030-04-17 02:45:00,4015.2982608262064,0.0,4015.2982608262064
10184,2030-04-17 03:00:00,4067.499096992959,0.0,4067.499096992959
10185,2030-04-17 03:15:00,4241.508099086097,0.0,4241.508099086097
10186,2030-04-17 03:30:00,4306.275783391504,0.0,4306.275783391504
10187,2030-04-17 03:45:00,4035.2707224219557,0.0,4035.2707224219557
10188,2030-04-17 04:00:00,3888.015261538882,0.0,3888.015261538882
10189,2030-04-17 04:15:00,3929.480408891255,0.0,3929.480408891255
10190,2030-04-17 04:30:00,4066.748307218463,0.0,4066.748307218463
10191,2030-04-17 04:45:00,4309.9354385240695,0.0,4309.9354385240695
10192,2030-04-17 05:00:00,4461.675748710077,0.0,4461.675748710077
10193,2030-04-17 05:15:00,4528.904453214505,0.0,4528.904453214505
10194,2030-04-17 05:30:00,4656.267183929667,0.0,4656.267183929667
10195,2030-04-17 05:45:00,4900.045642154095,0.0,4900.045642154095
10196,2030-04-17 06:00:00,4998.0956574482725,0.0,4998.0956574482725
10197,2030-04-17 06:15:00,5279.457548952535,0.0,5279.457548952535
10198,2030-04-17 06:30:00,5377.542818997403,0.0,5377.542818997403
10199,2030-04-17 06:45:00,5672.914273402332,0.0,5672.914273402332
10200,2030-04-17 07:00:00,6555.577492780354,0.0,6555.577492780354
10201,2030-04-17 07:15:00,8206.520622146962,0.0,8206.520622146962
10202,2030-04-17 07:30:00,8989.563933922334,0.0,8989.563933922334
10203,2030-04-17 07:45:00,9820.21034073631,0.0,9820.21034073631
10204,2030-04-17 08:00:00,11857.888020934744,0.0,11857.888020934744
10205,2030-04-17 08:15:00,13260.006814516886,0.0,13260.006814516886
10206,2030-04-17 08:30:00,14866.694911886083,0.0,14866.694911886083
10207,2030-04-17 08:45:00,16952.17148314525,676.2399218160463,16275.931561329202
10208,2030-04-17 09:00:00,18387.895880414086,2310.272244408221,16077.623636005865
10209,2030-04-17 09:15:00,19931.510220958724,4133.409305397865,15798.100915560859
10210,2030-04-17 09:30:00,21837.66234378761,5569.884973808534,16267.777369979078
10211,2030-04-17 09:45:00,23271.69117261337,7237.958534837613,16033.732637775756
10212,2030-04-17 10:00:00,24784.328137058066,8683.669811145519,16100.658325912547
10213,2030-04-17 10:15:00,26727.750232797498,9217.778880875609,17509.97135192189
10214,2030-04-17 10:30:00,28203.457327926553,10256.305227462097,17947.152100464456
10215,2030-04-17 10:45:00,29882.26401513331,10865.880925240406,19016.383089892905
10216,2030-04-17 11:00:00,31199.547885108368,11315.919809425079,19883.62807568329
10217,2030-04-17 11:15:00,31775.47913615146,11836.759801472912,19938.71933467855
10218,2030-04-17 11:30:00,32865.820574630154,11624.038760747218,21241.781813882935
10219,2030-04-17 11:45:00,33468.3642242231,0.0,33468.3642242231
10220,2030-04-17 12:00:00,34114.1901342005,0.0,34114.1901342005
10221,2030-04-17 12:15:00,34787.144431731904,0.0,34787.144431731904
10222,2030-04-17 12:30:00,34787.97559116199,0.0,34787.97559116199
10223,2030-04-17 12:45:00,35154.070062105246,0.0,35154.070062105246
10224,2030-04-17 13:00:00,35772.86224924091,0.0,35772.86224924091
10225,2030-04-17 13:15:00,35689.40338455024,0.0,35689.40338455024
10226,2030-04-17 13:30:00,35478.69424078161,0.0,35478.69424078161
10227,2030-04-17 13:45:00,36271.38865510867,0.0,36271.38865510867
10228,2030-04-17 14:00:00,36306.14948888066,0.0,36306.14948888066
10229,2030-04-17 14:15:00,36204.356204065014,0.0,36204.356204065014
10230,2030-04-17 14:30:00,35677.659179967755,0.0,35677.659179967755
10231,2030-04-17 14:45:00,35520.77180504984,0.0,35520.77180504984
10232,2030-04-17 15:00:00,34926.15638412403,0.0,34926.15638412403
10233,2030-04-17 15:15:00,34759.92968889969,0.0,34759.92968889969
10234,2030-04-17 15:30:00,33350.466545447285,0.0,33350.466545447285
10235,2030-04-17 15:45:00,32364.179344655855,0.0,32364.179344655855
10236,2030-04-17 16:00:00,31994.444658429988,0.0,31994.444658429988
10237,2030-04-17 16:15:00,30525.634429619706,0.0,30525.634429619706
10238,2030-04-17 16:30:00,28959.286433886635,0.0,28959.286433886635
10239,2030-04-17 16:45:00,28040.129971172984,0.0,28040.129971172984
10240,2030-04-17 17:00:00,26510.77240364755,-1190.5364596464606,27701.30886329401
10241,2030-04-17 17:15:00,25297.894712571528,-3271.156101979028,28569.050814550556
10242,2030-04-17 17:30:00,23663.757557287165,-5086.275376252794,28750.03293353996
10243,2030-04-17 17:45:00,21950.544792549328,-6611.322299985462,28561.86709253479
10244,2030-04-17 18:00:00,20178.007436703054,-7444.182667806026,27622.190104509078
10245,2030-04-17 18:15:00,18114.042645335838,-8491.88696890622,26605.929614242057
10246,2030-04-17 18:30:00,16418.83829801263,-9197.27080390799,25616.10910192062
10247,2030-04-17 18:45:00,15019.99813381743,-9607.53633707075,24627.53447088818
10248,2030-04-17 19:00:00,14335.55099348814,-9791.05654287929,24126.60753636743
10249,2030-04-17 19:15:00,13126.479691923621,-9747.846879336334,22874.326571259953
10250,2030-04-17 19:30:00,12494.747308968637,-9777.199461032485,22271.946770001123
10251,2030-04-17 19:45:00,12222.902092717937,-2783.730101197172,15006.63219391511
10252,2030-04-17 20:00:00,12268.84872243206,0.0,12268.84872243206
10253,2030-04-17 20:15:00,12204.35701639906,0.0,12204.35701639906
10254,2030-04-17 20:30:00,12057.310154547728,0.0,12057.310154547728
10255,2030-04-17 20:45:00,12112.623790288158,0.0,12112.623790288158
10256,2030-04-17 21:00:00,11988.203131855025,0.0,11988.203131855025
10257,2030-04-17 21:15:00,11799.547692735337,0.0,11799.547692735337
10258,2030-04-17 21:30:00,12076.987027715859,0.0,12076.987027715859
10259,2030-04-17 21:45:00,12019.190429288417,0.0,12019.190429288417
10260,2030-04-17 22:00:00,11653.901422721086,0.0,11653.901422721086
10261,2030-04-17 22:15:00,11833.269656307384,0.0,11833.269656307384
10262,2030-04-17 22:30:00,11835.838287826238,0.0,11835.838287826238
10263,2030-04-17 22:45:00,11839.33048955518,0.0,11839.33048955518
10264,2030-04-17 23:00:00,11363.707896854248,0.0,11363.707896854248
10265,2030-04-17 23:15:00,11198.228738755875,0.0,11198.228738755875
10266,2030-04-17 23:30:00,11328.844476916467,0.0,11328.844476916467
10267,2030-04-17 23:45:00,11386.520146444162,0.0,11386.520146444162
10268,2030-04-18 00:00:00,11220.796467030314,0.0,11220.796467030314
10269,2030-04-18 00:15:00,10755.8763562198,0.0,10755.8763562198
10270,2030-04-18 00:30:00,10373.402824515044,0.0,10373.402824515044
10271,2030-04-18 00:45:00,10019.82226499204,0.0,10019.82226499204
10272,2030-04-18 01:00:00,9704.436259043927,0.0,9704.436259043927
10273,2030-04-18 01:15:00,9301.589170954801,0.0,9301.589170954801
10274,2030-04-18 01:30:00,9157.28891511708,0.0,9157.28891511708
